iter	RMSE
0	0.7018621514
1	0.6836448996
2	0.6678880872
3	0.6549717128
4	0.6427949126
5	0.6321349833
6	0.621768039
7	0.6130694956
8	0.6038013753
9	0.5969229595
10	0.5903957446
11	0.5853905816
12	0.5804095129
13	0.5752743255
14	0.5707907521
15	0.5666245793
16	0.5630675262
17	0.5597940481
18	0.5557748512
19	0.5523730542
20	0.5505918628
21	0.5479881492
22	0.5453060275
23	0.5423529847
24	0.5394634762
25	0.5370628227
26	0.5348055216
27	0.5327817357
28	0.5312921208
29	0.5291603787
30	0.5278119832
31	0.5260707005
32	0.5243381022
33	0.5226837028
34	0.5211920863
35	0.5198882369
36	0.5183497699
37	0.516542701
38	0.5144474616
39	0.5132436918
40	0.512322935
41	0.5108531263
42	0.5085567842
43	0.5066876747
44	0.5053214293
45	0.5042837147
46	0.5031141697
47	0.5022761807
48	0.5009584096
49	0.4994473582
50	0.4985552682
51	0.4971758047
52	0.4961246092
53	0.4953511053
54	0.4943622631
55	0.4927480582
56	0.492055487
57	0.4914063889
58	0.4903751495
59	0.4890223153
60	0.487624018
61	0.4863069059
62	0.4854196562
63	0.4844916923
64	0.4832633821
65	0.4826262318
66	0.4817022794
67	0.4810086952
68	0.4797995196
69	0.4789098802
70	0.4780914362
71	0.4776407915
72	0.4763834596
73	0.4757174374
74	0.4744767038
75	0.473294727
76	0.4723466636
77	0.4718625801
78	0.4701011885
79	0.4695313675
80	0.4687834115
81	0.4676198201
82	0.4669381607
83	0.4664781834
84	0.4657925068
85	0.4650673084
86	0.4642995819
87	0.4637685997
88	0.4627233441
89	0.462038664
90	0.4611332767
91	0.4602089933
92	0.4588525544
93	0.4580569525
94	0.4572379529
95	0.4563909786
96	0.4556100423
97	0.4545594235
98	0.4534708459
99	0.4526334914
100	0.4518106176
101	0.4510243309
102	0.4503785803
103	0.4497656442
104	0.4489229222
105	0.4482498504
106	0.4476691613
107	0.4471802846
108	0.4462137807
109	0.4458284185
110	0.4449011347
111	0.4439970664
112	0.4436937184
113	0.44294407
114	0.4418960425
115	0.4409279522
116	0.4406227443
117	0.4397202826
118	0.4390900348
119	0.4383675802
120	0.4376788099
121	0.4369320602
122	0.4360543369
123	0.4350495086
124	0.4341680495
125	0.4336407858
126	0.4328996126
127	0.4316188514
128	0.4309832533
129	0.4301886255
130	0.4296415341
131	0.4288131047
132	0.4280029105
133	0.4275846312
134	0.4269132442
135	0.4263229012
136	0.4255204421
137	0.4250029806
138	0.4243385613
139	0.4236847923
140	0.423072659
141	0.4227571634
142	0.4221087003
143	0.4213407634
144	0.420805991
145	0.4202436436
146	0.4196425355
147	0.4192499178
148	0.4188212155
149	0.4182279334
150	0.4171386096
151	0.4164503921
152	0.4156800025
153	0.4151555166
154	0.4145580765
155	0.4139237749
156	0.4135521616
157	0.4129956586
158	0.4122752529
159	0.4115609681
160	0.4109013926
161	0.4100360294
162	0.4090928938
163	0.4081802375
164	0.4077180926
165	0.4073019172
166	0.406919736
167	0.4062436836
168	0.4057127953
169	0.4050579418
170	0.4042790981
171	0.4038969
172	0.4033955798
173	0.4030818927
174	0.4024478862
175	0.4013566398
176	0.4009638995
177	0.4006816689
178	0.4005034606
179	0.3992375025
180	0.3985663203
181	0.3981433026
182	0.3975413768
183	0.396989713
184	0.3963221722
185	0.3952460306
186	0.3952013767
187	0.394665233
188	0.3941948996
189	0.3935958375
190	0.3930682477
191	0.3929182294
192	0.392238886
193	0.3914752801
194	0.3913652678
195	0.3908688607
196	0.3898243287
197	0.3892400629
198	0.3888673405
199	0.3885537332
200	0.3879427242
201	0.3874354257
202	0.3871597927
203	0.3864865681
204	0.3857039222
205	0.385185567
206	0.384627863
207	0.3839188745
208	0.3835831309
209	0.3832169036
210	0.3824620099
211	0.3819265903
212	0.3813311421
213	0.3807477571
214	0.3801582302
215	0.3795896882
216	0.3792209301
217	0.3784423619
218	0.3776515635
219	0.3773093159
220	0.3769598802
221	0.3760060538
222	0.3755865482
223	0.3753816866
224	0.3747969853
225	0.3739528975
226	0.373564343
227	0.3731798149
228	0.3725824654
229	0.3716041331
230	0.3708389661
231	0.3703787071
232	0.3698194324
233	0.3692479732
234	0.3686920417
235	0.3680011974
236	0.3677096263
237	0.3671597526
238	0.3667575695
239	0.3661697132
240	0.3658224917
241	0.3654878627
242	0.3651271077
243	0.3646718398
244	0.3641510765
245	0.3637396538
246	0.3632944576
247	0.3631119123
248	0.3626846925
249	0.3623152472
250	0.3618862681
251	0.3609689022
252	0.3605725695
253	0.3603634552
254	0.3599356462
255	0.3590507583
256	0.358829136
257	0.3583405165
258	0.3576365613
259	0.3574895425
260	0.3572226869
261	0.3566349955
262	0.3561095248
263	0.3554252579
264	0.3547653313
265	0.3540682682
266	0.3537452827
267	0.3530465066
268	0.3524904488
269	0.3518610161
270	0.3514182356
271	0.3512148412
272	0.3505465191
273	0.3504141464
274	0.3500653092
275	0.3494786894
276	0.3487069508
277	0.3481091492
278	0.3478015481
279	0.3471197226
280	0.346571139
281	0.3460133695
282	0.3454797905
283	0.3451275878
284	0.3445922651
285	0.3441328469
286	0.3433618185
287	0.3431442469
288	0.3426629442
289	0.3420501539
290	0.3416048468
291	0.3412067821
292	0.3406556426
293	0.3400325433
294	0.3394507018
295	0.3388596224
296	0.3386258952
297	0.338443601
298	0.3378408211
299	0.3374258924
300	0.3373838343
301	0.3371210496
302	0.336607421
303	0.3362951778
304	0.3360222851
305	0.3357978811
306	0.3351518177
307	0.3346698935
308	0.3344368428
309	0.3339151065
310	0.3337014467
311	0.333518207
312	0.3329001294
313	0.3323789613
314	0.3318651953
315	0.3313856007
316	0.3308905422
317	0.330186395
318	0.3294437694
319	0.3292774236
320	0.3290552222
321	0.3286076239
322	0.3284935061
323	0.3281097223
324	0.3278007068
325	0.327081077
326	0.3264629895
327	0.3261265127
328	0.3257206988
329	0.3253933001
330	0.324703541
331	0.3242436608
332	0.3240313467
333	0.323788031
334	0.3235456907
335	0.3229679719
336	0.3222316765
337	0.3216132999
338	0.3212207367
339	0.3208807501
340	0.3203711305
341	0.3199375484
342	0.3192092376
343	0.3188224568
344	0.3182512325
345	0.3179255922
346	0.3177232563
347	0.31723804
348	0.3169199531
349	0.3164328704
350	0.3160370589
351	0.3157374784
352	0.3153581369
353	0.3149161402
354	0.3144674573
355	0.3139853544
356	0.3135885806
357	0.3133003917
358	0.3131103111
359	0.3127694383
360	0.3123837161
361	0.3122905701
362	0.3119326191
363	0.3115017212
364	0.311046789
365	0.3106702359
366	0.3102166065
367	0.3096622992
368	0.3091398682
369	0.3088649888
370	0.3085324126
371	0.3081403142
372	0.307869093
373	0.3076338986
374	0.3075142457
375	0.3070069014
376	0.3065078705
377	0.3061256667
378	0.3058322502
379	0.3052793763
380	0.3049196661
381	0.3046930463
382	0.3042095018
383	0.3039099904
384	0.3034367515
385	0.3032700528
386	0.3028686278
387	0.3026779344
388	0.3020704276
389	0.3017700008
390	0.301372987
391	0.3011268172
392	0.3005546803
393	0.3002451685
394	0.3000576584
395	0.2999196571
396	0.2997319616
397	0.2993062402
398	0.2987349717
399	0.298555762
400	0.2982253111
401	0.2979078206
402	0.2977160872
403	0.2973257173
404	0.2969333489
405	0.2965218772
406	0.2962076797
407	0.2958808697
408	0.2953106986
409	0.2950846001
410	0.2947546484
411	0.2944242197
412	0.2941088378
413	0.293843317
414	0.293509275
415	0.2932426645
416	0.2929188376
417	0.2925666518
418	0.2923737276
419	0.2920504809
420	0.2917802337
421	0.291222555
422	0.2909908624
423	0.290629719
424	0.2903089587
425	0.289727736
426	0.2891708472
427	0.288902419
428	0.2886203475
429	0.2880907757
430	0.287743756
431	0.2874359124
432	0.2870501684
433	0.2866830346
434	0.2864685093
435	0.286077617
436	0.2858682263
437	0.2855718037
438	0.2852227088
439	0.2849504823
440	0.2847037246
441	0.2843517469
442	0.284138043
443	0.2839295298
444	0.2837482846
445	0.2833517675
446	0.2829957488
447	0.2828637403
448	0.2827056294
449	0.2824873171
450	0.2820959998
451	0.2815890866
452	0.2813009303
453	0.2811580369
454	0.2810414252
455	0.2809282346
456	0.280726584
457	0.2806199028
458	0.2803327097
459	0.2799151489
460	0.2795182335
461	0.279271501
462	0.2790503768
463	0.2786805255
464	0.278234834
465	0.2779795395
466	0.2776674244
467	0.2774014818
468	0.2770126597
469	0.2769251541
470	0.2766528621
471	0.2763415314
472	0.2761642906
473	0.2759660395
474	0.2757329848
475	0.2756487341
476	0.2754707671
477	0.2752547882
478	0.2747480607
479	0.2742995982
480	0.2739930375
481	0.2736558829
482	0.2731907051
483	0.2729069065
484	0.272533954
485	0.2722600771
486	0.2718120559
487	0.2716586739
488	0.2714716131
489	0.2713410077
490	0.2709860327
491	0.2706162417
492	0.2702267354
493	0.2700996385
494	0.2696131996
495	0.2695092332
496	0.2691009855
497	0.2689083602
498	0.2686312393
499	0.2684290029
500	0.268285875
501	0.2681157713
502	0.2678507709
503	0.2676741653
504	0.2674267424
505	0.2672113858
506	0.2668634386
507	0.2666114226
508	0.2664671868
509	0.266264216
510	0.2658963083
511	0.2657737774
512	0.2654739885
513	0.2652573565
514	0.2650611466
515	0.2647526914
516	0.2644876557
517	0.2643191048
518	0.2639054654
519	0.2637763085
520	0.2633156263
521	0.2631749562
522	0.2626212942
523	0.2619967151
524	0.2615595044
525	0.2613768787
526	0.2611625913
527	0.2608473622
528	0.2605556038
529	0.260423399
530	0.26025515
531	0.2599437449
532	0.2597461931
533	0.2594343594
534	0.2591649683
535	0.2587210614
536	0.258505628
537	0.2583418973
538	0.2580393911
539	0.2577487387
540	0.2575319534
541	0.2572153218
542	0.2567481336
543	0.2565227664
544	0.2563055984
545	0.2560728982
546	0.2557837404
547	0.2553933093
548	0.2551664394
549	0.2548453585
550	0.2545324339
551	0.2542952813
552	0.2541248223
553	0.2539369393
554	0.2536929795
555	0.2534869843
556	0.2532001962
557	0.2529955275
558	0.252675277
559	0.2524328935
560	0.2521873672
561	0.2519324949
562	0.2515168134
563	0.2512826423
564	0.2509758282
565	0.2507451754
566	0.2506613423
