iter	Passed	Remaining
0	19	15546
1	36	14149
2	52	13622
3	67	13284
4	84	13231
5	101	13189
6	118	13199
7	134	13116
8	152	13129
9	168	13111
10	184	13000
11	201	12974
12	217	12905
13	235	12983
14	251	12911
15	270	13003
16	287	12991
17	304	12984
18	322	13000
19	339	13018
20	357	13018
21	375	13033
22	394	13087
23	414	13168
24	431	13120
25	447	13078
26	463	13039
27	479	12988
28	496	12972
29	513	12939
30	530	12913
31	545	12855
32	561	12809
33	578	12784
34	593	12728
35	609	12703
36	625	12669
37	641	12628
38	662	12682
39	680	12684
40	696	12655
41	712	12618
42	728	12590
43	744	12557
44	761	12533
45	776	12486
46	791	12449
47	808	12429
48	823	12384
49	839	12350
50	855	12327
51	871	12298
52	887	12272
53	903	12244
54	919	12222
55	936	12208
56	953	12200
57	969	12170
58	985	12148
59	1002	12134
60	1019	12114
61	1035	12091
62	1052	12073
63	1068	12050
64	1085	12037
65	1101	12019
66	1117	11989
67	1132	11962
68	1149	11944
69	1165	11920
70	1182	11903
71	1198	11881
72	1215	11876
73	1231	11853
74	1247	11825
75	1264	11817
76	1281	11802
77	1298	11782
78	1314	11762
79	1329	11735
80	1345	11710
81	1361	11688
82	1377	11666
83	1393	11643
84	1409	11620
85	1424	11592
86	1439	11564
87	1455	11546
88	1471	11526
89	1488	11507
90	1504	11486
91	1523	11489
92	1539	11474
93	1556	11455
94	1572	11439
95	1589	11421
96	1604	11400
97	1622	11388
98	1638	11370
99	1654	11350
100	1670	11326
101	1686	11311
102	1702	11292
103	1717	11265
104	1733	11240
105	1748	11219
106	1765	11200
107	1781	11181
108	1797	11162
109	1812	11136
110	1827	11112
111	1843	11091
112	1859	11072
113	1875	11057
114	1892	11039
115	1908	11021
116	1924	11001
117	1940	10984
118	1957	10972
119	1974	10957
120	1990	10942
121	2007	10927
122	2023	10908
123	2040	10896
124	2056	10874
125	2071	10851
126	2088	10836
127	2104	10818
128	2121	10805
129	2138	10791
130	2154	10773
131	2170	10755
132	2186	10737
133	2202	10715
134	2218	10696
135	2234	10679
136	2248	10653
137	2263	10626
138	2276	10598
139	2291	10574
140	2305	10547
141	2319	10519
142	2333	10493
143	2348	10470
144	2362	10445
145	2376	10419
146	2392	10399
147	2406	10375
148	2422	10355
149	2437	10334
150	2452	10313
151	2467	10291
152	2481	10266
153	2496	10244
154	2511	10222
155	2525	10198
156	2539	10175
157	2554	10151
158	2568	10129
159	2583	10108
160	2599	10092
161	2614	10072
162	2629	10051
163	2644	10030
164	2659	10008
165	2677	10002
166	2697	9997
167	2716	9993
168	2733	9978
169	2749	9963
170	2767	9953
171	2784	9940
172	2799	9921
173	2815	9903
174	2830	9882
175	2846	9864
176	2861	9844
177	2876	9826
178	2887	9790
179	2902	9771
180	2920	9760
181	2935	9740
182	2950	9721
183	2966	9705
184	2983	9691
185	2998	9671
186	3003	9619
187	3019	9603
188	3034	9586
189	3049	9566
190	3064	9545
191	3073	9507
192	3088	9489
193	3103	9471
194	3110	9426
195	3125	9407
196	3140	9389
197	3154	9368
198	3169	9349
199	3183	9329
200	3200	9314
201	3215	9297
202	3231	9279
203	3245	9259
204	3260	9240
205	3276	9224
206	3291	9207
207	3306	9189
208	3321	9170
209	3336	9152
210	3351	9132
211	3366	9114
212	3381	9096
213	3397	9081
214	3412	9063
215	3426	9043
216	3441	9022
217	3455	9004
218	3469	8983
219	3483	8962
220	3497	8942
221	3512	8922
222	3525	8900
223	3539	8879
224	3554	8863
225	3569	8845
226	3584	8826
227	3598	8806
228	3613	8790
229	3628	8770
230	3642	8751
231	3656	8730
232	3670	8712
233	3686	8696
234	3703	8682
235	3718	8666
236	3732	8646
237	3746	8627
238	3761	8608
239	3775	8589
240	3790	8570
241	3803	8550
242	3817	8530
243	3832	8512
244	3846	8492
245	3860	8473
246	3874	8453
247	3888	8436
248	3902	8416
249	3916	8395
250	3929	8375
251	3942	8355
252	3957	8336
253	3971	8317
254	3984	8297
255	4000	8281
256	4014	8263
257	4027	8242
258	4040	8222
259	4053	8201
260	4068	8182
261	4081	8163
262	4095	8144
263	4109	8124
264	4122	8104
265	4136	8086
266	4149	8066
267	4163	8048
268	4177	8029
269	4191	8010
270	4205	7991
271	4218	7972
272	4232	7954
273	4247	7937
274	4262	7919
275	4276	7902
276	4291	7885
277	4306	7869
278	4320	7851
279	4335	7834
280	4349	7816
281	4363	7798
282	4377	7780
283	4391	7761
284	4405	7744
285	4419	7725
286	4433	7707
287	4447	7689
288	4461	7671
289	4475	7654
290	4488	7635
291	4502	7616
292	4516	7598
293	4529	7580
294	4543	7563
295	4558	7545
296	4571	7527
297	4585	7509
298	4600	7492
299	4615	7476
300	4619	7443
301	4633	7425
302	4648	7409
303	4662	7391
304	4676	7374
305	4690	7357
306	4705	7341
307	4720	7325
308	4734	7308
309	4749	7292
310	4764	7276
311	4779	7261
312	4795	7246
313	4810	7230
314	4824	7214
315	4844	7205
316	4863	7195
317	4882	7185
318	4897	7169
319	4911	7152
320	4924	7134
321	4940	7119
322	4954	7102
323	4969	7085
324	4983	7068
325	4998	7052
326	5012	7035
327	5026	7019
328	5041	7002
329	5054	6984
330	5069	6968
331	5083	6951
332	5097	6934
333	5112	6918
334	5126	6901
335	5140	6884
336	5154	6867
337	5168	6850
338	5185	6836
339	5199	6820
340	5214	6804
341	5229	6788
342	5243	6772
343	5257	6755
344	5272	6739
345	5286	6722
346	5300	6705
347	5314	6689
348	5328	6672
349	5343	6656
350	5357	6639
351	5372	6623
352	5386	6607
353	5400	6590
354	5415	6574
355	5430	6559
356	5444	6543
357	5459	6527
358	5475	6512
359	5490	6497
360	5506	6482
361	5520	6466
362	5535	6450
363	5551	6436
364	5567	6421
365	5584	6408
366	5600	6393
367	5616	6380
368	5632	6364
369	5647	6349
370	5662	6334
371	5678	6319
372	5693	6303
373	5707	6287
374	5721	6271
375	5736	6254
376	5751	6239
377	5766	6223
378	5780	6207
379	5795	6191
380	5808	6174
381	5823	6158
382	5838	6142
383	5852	6126
384	5867	6110
385	5881	6094
386	5896	6079
387	5911	6064
388	5925	6047
389	5939	6031
390	5954	6015
391	5968	5999
392	5983	5983
393	5997	5967
394	6011	5951
395	6025	5934
396	6039	5918
397	6054	5902
398	6068	5885
399	6082	5869
400	6096	5852
401	6110	5837
402	6124	5820
403	6139	5805
404	6153	5789
405	6168	5773
406	6182	5756
407	6196	5740
408	6210	5724
409	6225	5709
410	6240	5694
411	6254	5678
412	6270	5662
413	6284	5647
414	6299	5631
415	6313	5615
416	6328	5600
417	6343	5584
418	6359	5570
419	6375	5556
420	6390	5540
421	6406	5525
422	6421	5510
423	6435	5494
424	6450	5479
425	6465	5464
426	6480	5448
427	6494	5432
428	6509	5416
429	6524	5401
430	6539	5385
431	6554	5370
432	6569	5355
433	6584	5340
434	6598	5324
435	6614	5309
436	6628	5293
437	6642	5277
438	6657	5262
439	6671	5246
440	6690	5234
441	6704	5218
442	6718	5202
443	6733	5186
444	6748	5171
445	6763	5156
446	6778	5140
447	6794	5126
448	6808	5110
449	6823	5094
450	6838	5079
451	6853	5064
452	6868	5048
453	6882	5032
454	6900	5019
455	6914	5004
456	6930	4989
457	6944	4973
458	6959	4958
459	6974	4942
460	6988	4926
461	7002	4911
462	7017	4895
463	7032	4880
464	7047	4864
465	7061	4849
466	7076	4833
467	7090	4818
468	7105	4802
469	7119	4786
470	7135	4771
471	7149	4756
472	7164	4740
473	7178	4725
474	7192	4709
475	7207	4693
476	7221	4678
477	7235	4662
478	7249	4646
479	7264	4630
480	7278	4615
481	7292	4599
482	7307	4583
483	7322	4568
484	7336	4553
485	7351	4537
486	7366	4523
487	7381	4507
488	7395	4491
489	7410	4476
490	7425	4461
491	7439	4445
492	7453	4429
493	7467	4414
494	7482	4398
495	7496	4383
496	7511	4368
497	7530	4354
498	7545	4339
499	7560	4324
500	7574	4308
501	7589	4293
502	7604	4278
503	7618	4262
504	7633	4247
505	7648	4232
506	7664	4217
507	7679	4202
508	7695	4188
509	7710	4172
510	7725	4157
511	7740	4142
512	7755	4127
513	7771	4112
514	7786	4097
515	7802	4082
516	7816	4067
517	7831	4051
518	7849	4038
519	7866	4023
520	7882	4009
521	7898	3994
522	7915	3980
523	7933	3966
524	7957	3955
525	7981	3945
526	8006	3935
527	8030	3924
528	8055	3913
529	8075	3900
530	8094	3887
531	8120	3877
532	8141	3864
533	8170	3855
534	8188	3841
535	8210	3829
536	8233	3817
537	8255	3805
538	8285	3796
539	8307	3784
540	8326	3770
541	8346	3757
542	8363	3742
543	8382	3728
544	8401	3715
545	8418	3700
546	8438	3686
547	8460	3674
548	8476	3659
549	8491	3643
550	8507	3628
551	8526	3614
552	8548	3601
553	8568	3588
554	8588	3574
555	8606	3560
556	8631	3548
557	8697	3553
558	8729	3544
559	8756	3534
560	8778	3520
561	8798	3506
562	8816	3492
563	8837	3478
564	8855	3463
565	8873	3449
566	8893	3434
567	8931	3427
568	8969	3420
569	9002	3411
570	9031	3400
571	9069	3393
572	9100	3383
573	9118	3367
574	9134	3351
575	9150	3335
576	9166	3320
577	9182	3304
578	9200	3289
579	9216	3273
580	9231	3257
581	9247	3241
582	9262	3225
583	9280	3210
584	9295	3193
585	9312	3178
586	9329	3162
587	9346	3147
588	9362	3131
589	9378	3115
590	9394	3099
591	9410	3083
592	9427	3068
593	9444	3052
594	9460	3036
595	9478	3021
596	9494	3005
597	9512	2990
598	9530	2975
599	9548	2959
600	9565	2944
601	9580	2928
602	9598	2912
603	9617	2898
604	9634	2882
605	9649	2866
606	9663	2849
607	9677	2833
608	9690	2816
609	9704	2799
610	9719	2783
611	9735	2767
612	9751	2752
613	9769	2736
614	9786	2721
615	9802	2705
616	9817	2689
617	9833	2673
618	9849	2657
619	9863	2640
620	9878	2624
621	9893	2608
622	9908	2592
623	9924	2576
624	9941	2560
625	9957	2544
626	9972	2528
627	9988	2512
628	10004	2497
629	10020	2481
630	10035	2465
631	10052	2449
632	10066	2433
633	10081	2417
634	10095	2400
635	10110	2384
636	10124	2368
637	10138	2351
638	10152	2335
639	10167	2319
640	10184	2303
641	10201	2288
642	10216	2272
643	10232	2256
644	10248	2240
645	10263	2224
646	10281	2208
647	10297	2193
648	10313	2177
649	10330	2161
650	10346	2145
651	10361	2129
652	10377	2113
653	10394	2097
654	10410	2082
655	10426	2066
656	10442	2050
657	10457	2034
658	10471	2018
659	10486	2002
660	10502	1986
661	10517	1970
662	10533	1954
663	10548	1938
664	10563	1922
665	10579	1906
666	10594	1890
667	10609	1874
668	10625	1858
669	10640	1842
670	10656	1826
671	10671	1810
